epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,618.965,0.72105,0.46086,1.12399,0.95151,0.96192,0.98171,0.76943,0.88764,0.47379,1.15449,0.001981,0.001981,0.001981
83,626.618,0.70452,0.45054,1.11923,0.9716,0.9902,0.99402,0.82219,0.76664,0.38482,1.05506,0.001882,0.001882,0.001882
84,634.308,0.68284,0.43197,1.0986,0.95015,0.98039,0.99014,0.79913,0.79686,0.41841,1.08281,0.001783,0.001783,0.001783
85,641.345,0.69279,0.44433,1.10997,0.92562,0.97604,0.98394,0.7808,0.84644,0.42581,1.09822,0.001684,0.001684,0.001684
86,647.459,0.66067,0.43053,1.09969,0.93792,0.95098,0.98394,0.7625,0.86644,0.44969,1.13005,0.001585,0.001585,0.001585
87,653.526,0.66435,0.41138,1.08853,0.99532,0.95098,0.99323,0.77769,0.89054,0.4134,1.16347,0.001486,0.001486,0.001486
88,659.559,0.65947,0.42186,1.09495,0.96653,0.98039,0.98571,0.72407,1.04914,0.46923,1.27985,0.001387,0.001387,0.001387
89,665.678,0.666,0.42535,1.09735,0.97777,0.9902,0.98921,0.73262,0.99478,0.45172,1.25879,0.001288,0.001288,0.001288
90,671.964,0.63933,0.40378,1.07896,0.975,1,0.99271,0.82119,0.73579,0.38958,1.06742,0.001189,0.001189,0.001189
91,686.074,0.59926,0.37822,1.112,0.9239,0.95218,0.97977,0.76891,0.82998,0.46215,1.10459,0.00109,0.00109,0.00109
92,691.984,0.53476,0.32171,1.05403,0.97257,0.98039,0.99383,0.7649,0.89024,0.42768,1.17994,0.000991,0.000991,0.000991
93,697.901,0.51601,0.3026,1.03053,0.97777,1,0.99442,0.83752,0.70609,0.36767,1.01216,0.000892,0.000892,0.000892
94,703.862,0.49718,0.29411,1.03042,0.96006,0.96078,0.96822,0.7709,0.90765,0.43711,1.18314,0.000793,0.000793,0.000793
95,709.88,0.49854,0.29594,1.03266,0.97938,1,0.99372,0.86306,0.68056,0.36778,1.03866,0.000694,0.000694,0.000694
96,715.778,0.48032,0.28712,1.00795,0.98918,0.9902,0.99294,0.84337,0.69733,0.37096,1.04532,0.000595,0.000595,0.000595
97,721.693,0.46308,0.27262,0.99862,0.98204,0.97059,0.99064,0.79636,0.78092,0.40729,1.08193,0.000496,0.000496,0.000496
98,727.532,0.44978,0.27752,0.9996,0.98822,0.9902,0.99157,0.7977,0.81012,0.39519,1.1338,0.000397,0.000397,0.000397
99,733.465,0.46405,0.2781,1.00774,0.97138,0.99838,0.99071,0.81619,0.73203,0.37675,1.06848,0.000298,0.000298,0.000298
100,739.376,0.4412,0.26463,0.97501,0.97937,1,0.99078,0.8025,0.75907,0.38543,1.08452,0.000199,0.000199,0.000199
